State,WHITESPACE,*,+,-,/,%,^,+=,-=,++,--,<,<=,>,>=,=,==,!=,||,&&,~,main,id,num,string,character,int,char,float,double,void,cin,cout,while,for,if,else,break,return,[,],{,},(,),",",;,<<<,>>>,>>,<<,$
100,,r71,r71,r71,r71,r71,r71,,,r71,r71,r71,r71,r71,r71,,r71,r71,r71,r71,,,r71,,,,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,,r71,r71,r71,,r71,r71,r71,,,,r71,
101,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,s167,,,,s7,s8,s9,s10,,,,,,,,,,,,,,,,,r153,,,,,
103,,,,,,,,,,r78,r78,,,,,,,,,,,,r78,,,,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,,,r78,r78,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,s168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,r81,r81,,,,,,,,,,,,r81,,,,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,,,r81,r81,,,,,,,,,
106,,,,,,,,,,r79,r79,,,,,,,,,,,,r79,,,,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,,,r79,r79,,,,,,,,,
107,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,s169,s135,,,,,,,,,,,,,,,,,,s101,,,,,,,,
108,,,,,,,,,,r84,r84,,,,,,,,,,,,r84,,,,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,,,r84,r84,,,,,,,,,
109,,,,,,,,,,r16,r16,,,,,,,,,,,,r16,,,,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,,,r16,r16,,,,,,,,,
110,,,,,,,,,,r15,r15,,,,,,,,,,,,r15,,,,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,,,r15,r15,,,,,,,,,
111,,,,,,,,,,,,,,,,s178,,,,,,,,,,,,,,,,,,,,,,,,s174,,,,s171,,s175,s177,,,,,
112,,,,,,,,,,r17,r17,,,,,,,,,,,,r17,,,,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,,,r17,r17,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s171,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r73,,r73,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r74,,r74,,,,,
116,,,,s94,,,,,,s95,s96,,,,,,,,,,s144,,s97,s99,s146,s135,,,,,,,,,,,,,,,,,,s145,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r179,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s182,s181,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,r2,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,r2
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r6,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r7,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r8,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r124,,,,,,,,,
129,,,s152,s151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s183,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r105,,,,,
131,,r69,r69,r69,r69,r69,r69,,,s162,s163,,,,,s185,,,,,,,,,,,,,,,,,,,,,,,,s184,,,,s160,,,r69,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r109,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r110,,,,,
134,,,,,,,,,,,,r29,r29,r29,r29,,r29,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,r29,,r29,,,,r29,
135,,,,,,,,,,,,r30,r30,r30,r30,,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,r30,,r30,,,,r30,
136,,,,,,,,,,r104,r104,,,,,,,,,,,,r104,,,,r104,r104,r104,r104,r104,r104,r104,r104,r104,r104,r104,r104,r104,,,r104,r104,,,,,,,,,
137,,,,,,,,,,r103,r103,,,,,,,,,,,,r103,,,,r103,r103,r103,r103,r103,r103,r103,r103,r103,r103,r103,r103,r103,,,r103,r103,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s186,,,,,,,
139,,,,,,,,,,,,,,,,,,,s187,,,,,,,,,,,,,,,,,,,,,,,,,,r85,,r85,,,,,
140,,,,,,,,,,,,r87,r87,r87,r87,,r87,r87,r87,s188,,,,,,,,,,,,,,,,,,,,,,,,,r87,,r87,,,,,
141,,,,,,,,,,,,r89,r89,r89,r89,,s190,s189,r89,r89,,,,,,,,,,,,,,,,,,,,,,,,,r89,,r89,,,,,
142,,,,,,,,,,,,s194,s193,s192,s191,,r92,r92,r92,r92,,,,,,,,,,,,,,,,,,,,,,,,,r92,,r92,,,,,
143,,,,,,,,,,,,r97,r97,r97,r97,,r97,r97,r97,r97,,,,,,,,,,,,,,,,,,,,,,,,,r97,,r97,,,,,
144,,,,s94,,,,,,s95,s96,,,,,,,,,,s144,,s97,s99,s146,s135,,,,,,,,,,,,,,,,,,s145,,,,,,,,
145,,,,s94,,,,,,s95,s96,,,,,,,,,,s144,,s97,s99,s146,s135,,,,,,,,,,,,,,,,,,s145,,,,,,,,
146,,,,,,,,,,,,r100,r100,r100,r100,,r100,r100,r100,r100,,,,,,,,,,,,,,,,,,,,,,,,,r100,,r100,,,,,
147,,,,,,,,,,,,r101,r101,r101,r101,,r101,r101,r101,r101,,,,,,,,,,,,,,,,,,,,,,,,,r101,,r101,,,,,
148,,,,,,,,,,r172,r172,,,,,,,,,,,,r172,,,,r172,r172,r172,r172,r172,r172,r172,r172,r172,r172,r172,r172,r172,,,r172,r172,,,,,,,,,
149,,,,,,,,,,r173,r173,,,,,,,,,,,,r173,,,,r173,r173,r173,r173,r173,r173,r173,r173,r173,r173,r173,r173,r173,,,r173,r173,,,,,,,,,
150,,,,,,,,,,r174,r174,,,,,,,,,,,,r174,,,,r174,r174,r174,r174,r174,r174,r174,r174,r174,r174,r174,r174,r174,,,r174,r174,,,,,,,,,
151,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
152,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
153,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
154,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
155,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
156,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
157,,r61,r61,r61,r61,r61,r61,,,r61,r61,r61,r61,r61,r61,,r61,r61,r61,r61,,,r61,,,,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,,r61,r61,r61,,r61,r61,r61,,,,r61,
158,,r62,r62,r62,r62,r62,r62,,,r62,r62,r62,r62,r62,r62,,r62,r62,r62,r62,,,r62,,,,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,,r62,r62,r62,,r62,r62,r62,,,,r62,
159,,r63,r63,r63,r63,r63,r63,,,r63,r63,r63,r63,r63,r63,,r63,r63,r63,r63,,,r63,,,,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,,r63,r63,r63,,r63,r63,r63,,,,r63,
160,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s206,s99,,,,,,,s205,,,,,,,,,,,,,s101,,,,,,,,
161,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,
162,,r65,r65,r65,r65,r65,r65,,,r65,r65,r65,r65,r65,r65,,r65,r65,r65,r65,,,r65,,,,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,,r65,r65,r65,,r65,r65,r65,,,,r65,
163,,r64,r64,r64,r64,r64,r64,,,r64,r64,r64,r64,r64,r64,,r64,r64,r64,r64,,,r64,,,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,r64,r64,r64,,r64,r64,r64,,,,r64,
164,,,s152,s151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s209,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s210,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,s211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,s212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s105,,,s104,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s108,,,,s107,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s108,,,,s107,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s217,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,r22,r22,,,,,,,,,,,,r22,,,,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,,,r22,r22,,,,,,,,,
173,,,,,,,,,,r23,r23,,,,,,,,,,,,r23,,,,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,,,r23,r23,,,,,,,,,
